round,player 0 bankroll,player 1 bankroll,player 2 bankroll
377,665.0,595.0,640.0
378,725.0,580.0,625.0
379,710.0,565.0,610.0
380,695.0,550.0,595.0
381,680.0,610.0,595.0
382,665.0,610.0,580.0
383,665.0,595.0,580.0
384,650.0,595.0,565.0
385,635.0,580.0,550.0
386,620.0,565.0,535.0
387,605.0,550.0,520.0
388,605.0,550.0,520.0
389,590.0,550.0,505.0
390,575.0,535.0,490.0
391,560.0,520.0,475.0
392,545.0,505.0,460.0
393,545.0,565.0,520.0
394,530.0,550.0,505.0
395,515.0,535.0,490.0
396,500.0,520.0,475.0
397,500.0,505.0,460.0
398,485.0,490.0,445.0
399,470.0,490.0,445.0
400,455.0,490.0,430.0
401,455.0,490.0,430.0
402,440.0,475.0,415.0
403,425.0,460.0,415.0
404,410.0,460.0,400.0
405,470.0,445.0,460.0
406,470.0,445.0,460.0
407,470.0,445.0,460.0
408,530.0,430.0,460.0
409,515.0,415.0,460.0
410,500.0,400.0,460.0
411,485.0,385.0,445.0
412,545.0,370.0,430.0
413,545.0,355.0,430.0
414,545.0,340.0,430.0
415,530.0,325.0,430.0
416,750.0,310.0,415.0
417,735.0,295.0,415.0
418,735.0,295.0,415.0
419,720.0,295.0,415.0
420,705.0,280.0,400.0
421,705.0,265.0,385.0
422,690.0,265.0,370.0
423,675.0,265.0,355.0
424,660.0,250.0,355.0
425,645.0,235.0,340.0
426,645.0,220.0,325.0
427,630.0,205.0,325.0
428,615.0,205.0,310.0
429,600.0,190.0,295.0
430,600.0,175.0,295.0
431,600.0,160.0,280.0
432,600.0,160.0,265.0
433,585.0,145.0,325.0
434,570.0,145.0,310.0
435,570.0,130.0,295.0
436,555.0,115.0,355.0
437,555.0,115.0,355.0
438,615.0,100.0,340.0
439,615.0,85.0,340.0
440,615.0,85.0,340.0
441,600.0,70.0,340.0
442,660.0,55.0,325.0
443,660.0,55.0,325.0
444,645.0,40.0,310.0
445,645.0,25.0,310.0
446,645.0,10.0,310.0
447,630.0,70.0,295.0
448,630.0,55.0,280.0
449,615.0,55.0,265.0
450,615.0,55.0,250.0
451,615.0,40.0,250.0
452,600.0,260.0,235.0
453,600.0,260.0,220.0
454,600.0,260.0,205.0
455,585.0,260.0,190.0
456,570.0,260.0,175.0
457,570.0,260.0,160.0
458,790.0,245.0,145.0
459,775.0,230.0,130.0
460,775.0,215.0,130.0
461,760.0,200.0,190.0
462,745.0,200.0,190.0
463,730.0,185.0,175.0
464,715.0,170.0,175.0
465,700.0,170.0,175.0
466,760.0,230.0,160.0
467,820.0,215.0,220.0
468,880.0,200.0,280.0
469,865.0,185.0,265.0
470,865.0,170.0,325.0
471,865.0,170.0,310.0
472,850.0,155.0,295.0
473,835.0,140.0,295.0
474,835.0,125.0,295.0
475,835.0,110.0,280.0
476,820.0,170.0,265.0
477,820.0,170.0,265.0
478,820.0,170.0,250.0
479,805.0,155.0,235.0
480,790.0,140.0,220.0
481,850.0,125.0,205.0
482,835.0,110.0,190.0
483,820.0,95.0,190.0
484,820.0,95.0,190.0
485,805.0,95.0,190.0
486,805.0,95.0,190.0
487,805.0,80.0,190.0
488,790.0,65.0,175.0
489,775.0,65.0,160.0
490,760.0,50.0,145.0
491,745.0,50.0,145.0
492,745.0,35.0,130.0
493,730.0,35.0,130.0
494,730.0,20.0,130.0
495,730.0,5.0,115.0
496,730.0,1000,100.0
497,715.0,985.0,85.0
498,700.0,970.0,70.0
499,700.0,970.0,70.0
500,685.0,955.0,55.0
501,670.0,940.0,40.0
502,670.0,925.0,25.0
503,655.0,910.0,25.0
504,655.0,895.0,25.0
505,640.0,955.0,85.0
506,625.0,940.0,70.0
507,610.0,925.0,55.0
508,595.0,910.0,40.0
509,580.0,910.0,100.0
510,580.0,895.0,85.0
511,580.0,895.0,85.0
512,580.0,880.0,85.0
513,580.0,865.0,85.0
514,580.0,865.0,85.0
515,580.0,850.0,70.0
516,580.0,850.0,70.0
517,565.0,850.0,55.0
518,550.0,835.0,40.0
519,550.0,820.0,40.0
520,535.0,805.0,25.0
521,595.0,865.0,10.0
522,595.0,850.0,10.0
523,580.0,850.0,1000
524,565.0,850.0,1000
525,550.0,835.0,985.0
526,550.0,820.0,985.0
527,535.0,805.0,970.0
528,535.0,805.0,955.0
529,535.0,790.0,940.0
530,520.0,790.0,940.0
531,505.0,790.0,940.0
532,490.0,790.0,940.0
533,475.0,775.0,940.0
534,475.0,775.0,940.0
535,475.0,775.0,940.0
536,460.0,760.0,940.0
537,445.0,745.0,940.0
538,445.0,730.0,925.0
539,445.0,730.0,925.0
540,445.0,715.0,925.0
541,430.0,715.0,925.0
542,415.0,700.0,910.0
543,415.0,700.0,895.0
544,400.0,685.0,895.0
545,385.0,745.0,880.0
546,370.0,730.0,865.0
547,430.0,790.0,850.0
548,415.0,790.0,835.0
549,400.0,775.0,835.0
550,400.0,760.0,820.0
551,460.0,745.0,820.0
552,460.0,745.0,805.0
553,460.0,745.0,790.0
554,460.0,730.0,790.0
555,445.0,730.0,775.0
556,445.0,730.0,775.0
557,430.0,730.0,775.0
558,415.0,730.0,835.0
559,415.0,715.0,835.0
560,400.0,715.0,820.0
561,400.0,715.0,820.0
562,400.0,700.0,805.0
563,385.0,685.0,805.0
564,370.0,685.0,790.0
565,370.0,685.0,790.0
566,430.0,670.0,790.0
567,415.0,655.0,775.0
568,400.0,640.0,760.0
569,385.0,625.0,760.0
570,370.0,625.0,760.0
571,370.0,610.0,760.0
572,355.0,670.0,745.0
573,340.0,655.0,745.0
574,340.0,655.0,730.0
575,400.0,715.0,730.0
576,400.0,715.0,730.0
577,385.0,700.0,790.0
578,370.0,700.0,850.0
579,355.0,700.0,835.0
580,355.0,700.0,835.0
581,355.0,700.0,820.0
582,355.0,685.0,805.0
583,355.0,670.0,790.0
584,340.0,670.0,775.0
585,325.0,670.0,760.0
586,310.0,655.0,760.0
587,530.0,875.0,745.0
588,590.0,935.0,745.0
589,590.0,935.0,730.0
590,575.0,920.0,715.0
591,560.0,905.0,715.0
592,560.0,905.0,715.0
593,560.0,890.0,700.0
594,545.0,890.0,700.0
595,530.0,950.0,685.0
596,515.0,935.0,670.0
597,575.0,920.0,670.0
598,560.0,905.0,655.0
599,545.0,890.0,640.0
600,530.0,875.0,700.0
601,515.0,860.0,685.0
602,575.0,845.0,745.0
603,575.0,830.0,745.0
604,560.0,815.0,730.0
605,545.0,815.0,790.0
606,530.0,815.0,790.0
607,515.0,815.0,790.0
608,515.0,800.0,775.0
609,500.0,800.0,760.0
610,500.0,800.0,745.0
611,485.0,785.0,730.0
612,470.0,845.0,790.0
613,455.0,845.0,790.0
614,440.0,830.0,790.0
615,425.0,830.0,790.0
616,410.0,815.0,775.0
617,395.0,875.0,835.0
618,380.0,860.0,895.0
619,365.0,845.0,895.0
620,350.0,830.0,895.0
621,335.0,815.0,880.0
622,320.0,875.0,880.0
623,305.0,860.0,865.0
624,290.0,860.0,850.0
625,290.0,845.0,835.0
626,290.0,845.0,835.0
627,290.0,830.0,835.0
628,275.0,830.0,820.0
629,260.0,815.0,805.0
630,245.0,815.0,790.0
631,230.0,815.0,790.0
632,230.0,815.0,775.0
633,215.0,800.0,775.0
634,215.0,800.0,775.0
635,215.0,785.0,775.0
636,200.0,785.0,775.0
637,200.0,770.0,760.0
638,185.0,770.0,745.0
639,170.0,770.0,745.0
640,170.0,755.0,730.0
641,155.0,740.0,715.0
642,140.0,740.0,700.0
643,125.0,740.0,685.0
644,125.0,725.0,670.0
645,125.0,710.0,655.0
646,125.0,695.0,640.0
647,125.0,695.0,625.0
648,125.0,755.0,610.0
649,110.0,740.0,595.0
650,95.0,725.0,595.0
651,80.0,710.0,580.0
652,65.0,695.0,565.0
653,65.0,695.0,565.0
654,50.0,695.0,565.0
655,50.0,680.0,565.0
656,35.0,680.0,565.0
657,95.0,665.0,550.0
658,95.0,650.0,535.0
659,80.0,650.0,520.0
660,65.0,635.0,520.0
661,65.0,620.0,520.0
662,125.0,605.0,505.0
663,185.0,590.0,490.0
664,185.0,650.0,475.0
665,245.0,650.0,460.0
666,245.0,635.0,445.0
667,230.0,635.0,430.0
668,215.0,620.0,430.0
669,215.0,620.0,415.0
670,200.0,680.0,400.0
671,185.0,740.0,460.0
672,185.0,725.0,460.0
673,170.0,710.0,445.0
674,155.0,695.0,445.0
675,140.0,680.0,445.0
676,125.0,680.0,430.0
677,110.0,740.0,490.0
678,95.0,725.0,475.0
679,80.0,725.0,460.0
680,80.0,725.0,445.0
681,65.0,725.0,430.0
682,65.0,710.0,415.0
683,65.0,695.0,415.0
684,65.0,680.0,415.0
685,125.0,680.0,400.0
686,110.0,680.0,400.0
687,110.0,665.0,385.0
688,95.0,650.0,370.0
689,80.0,635.0,370.0
690,65.0,620.0,355.0
691,125.0,680.0,415.0
692,110.0,665.0,400.0
693,95.0,650.0,385.0
694,80.0,635.0,385.0
695,65.0,635.0,445.0
696,50.0,635.0,430.0
697,110.0,620.0,415.0
698,95.0,605.0,400.0
699,80.0,605.0,400.0
700,80.0,590.0,385.0
701,140.0,575.0,370.0
702,125.0,560.0,370.0
703,110.0,545.0,355.0
704,110.0,530.0,355.0
705,95.0,530.0,340.0
706,80.0,530.0,325.0
707,65.0,530.0,310.0
708,50.0,515.0,295.0
709,35.0,500.0,280.0
710,20.0,560.0,280.0
711,5.0,545.0,265.0
712,1000,530.0,250.0
713,985.0,530.0,250.0
714,970.0,530.0,235.0
715,1030.0,515.0,220.0
716,1015.0,515.0,205.0
717,1015.0,500.0,205.0
718,1015.0,485.0,190.0
719,1000.0,485.0,190.0
720,1060.0,470.0,175.0
721,1060.0,470.0,175.0
722,1060.0,470.0,160.0
723,1060.0,470.0,160.0
724,1060.0,455.0,145.0
725,1060.0,455.0,145.0
726,1060.0,455.0,145.0
727,1045.0,440.0,130.0
728,1045.0,440.0,115.0
729,1045.0,440.0,115.0
730,1030.0,500.0,175.0
731,1015.0,485.0,160.0
732,1000.0,470.0,145.0
733,985.0,455.0,130.0
734,985.0,455.0,130.0
735,985.0,440.0,190.0
736,985.0,440.0,175.0
737,970.0,440.0,160.0
738,955.0,425.0,145.0
739,955.0,425.0,145.0
740,940.0,410.0,130.0
741,940.0,395.0,115.0
742,940.0,380.0,100.0
743,925.0,365.0,85.0
744,910.0,365.0,70.0
745,895.0,365.0,55.0
746,880.0,350.0,55.0
747,880.0,350.0,40.0
748,865.0,335.0,25.0
749,865.0,335.0,25.0
750,850.0,335.0,10.0
751,850.0,335.0,1000
752,850.0,320.0,1000
753,835.0,305.0,985.0
754,835.0,290.0,970.0
755,820.0,290.0,955.0
756,805.0,275.0,940.0
757,790.0,260.0,925.0
758,775.0,245.0,925.0
759,760.0,230.0,910.0
760,745.0,215.0,910.0
761,730.0,215.0,970.0
762,715.0,200.0,955.0
763,700.0,200.0,955.0
764,685.0,200.0,940.0
765,670.0,200.0,925.0
766,655.0,185.0,910.0
767,640.0,170.0,895.0
768,640.0,155.0,880.0
769,640.0,155.0,865.0
770,625.0,215.0,850.0
771,625.0,200.0,850.0
772,610.0,185.0,835.0
773,610.0,170.0,835.0
774,595.0,170.0,835.0
775,595.0,155.0,820.0
776,580.0,140.0,805.0
777,580.0,125.0,805.0
778,565.0,110.0,790.0
779,550.0,170.0,775.0
780,535.0,170.0,775.0
781,520.0,155.0,775.0
782,505.0,155.0,760.0
783,490.0,215.0,820.0
784,475.0,215.0,820.0
785,475.0,215.0,805.0
786,475.0,200.0,805.0
787,460.0,185.0,790.0
788,445.0,170.0,775.0
789,430.0,155.0,760.0
790,415.0,155.0,760.0
791,400.0,155.0,745.0
